82 #Width Height
25 51
63 3
1 29
21 42
35 30
66 79
22 73
63 26
11 4
32 78
52 51
19 25
55 45
58 43
12 56
13 2
55 5
29 62
61 60
17 78
28 63
33 69
40 0
53 73
68 36
68 28
29 43
77 43
42 29
33 65
57 68
42 57
39 49
71 23
44 28
72 39
27 8
78 40
62 47
14 27
69 65
42 57
69 37
56 11
13 69
0 57
43 1
18 57
5 58
42 47
17 7
19 60
75 21
35 34
7 22
40 44
70 68
21 80
28 52
80 28
75 38
2 60
59 20
4 10
38 12
76 74
62 10
17 1
73 31
68 45
62 44
31 46
65 31
29 20
5 75
58 12
60 2
21 65
54 42
53 18
20 72
69 40
44 28
77 47
3 32
60 80
43 0
32 8
20 46
74 27
56 2
12 76
4 20
39 52
78 40
31 19
79 80
10 19
48 34
24 3
18 11
33 62
39 18
12 37
39 55
34 15
2 30
35 22
61 76
75 25
22 63
49 22
77 21
28 61
10 3
29 61
58 12
42 49
52 37
30 16
12 76
57 42
23 8
48 37
8 2
48 69
78 74
69 37
37 80
39 32
53 12
22 4
12 14
32 39
43 31
55 65
51 54
35 6
0 68
49 39
2 5
13 69
73 63
19 70
78 38
19 75
26 28
44 74
59 29
37 45
10 38
1 48
19 64
36 24
9 40
2 42
54 48
71 39
47 43
28 62
53 41
39 65
80 2
62 3
78 63
50 46
28 74
23 50
25 47
30 19
9 35
35 75
20 61
36 52
7 38
8 38
30 9
70 65
52 57
50 32
70 78
54 60
72 78
65 51
3 12
78 27
8 78
68 6
68 59
55 44
46 36
47 6
44 76
9 64
18 26
61 10
52 37
29 36
58 55
36 7
68 61
72 0
5 37
76 4
55 24
9 41
63 62
18 61
70 18
74 39
18 44
60 71
11 58
78 60
52 7
58 46
27 71
68 44
54 45
19 78
79 60
37 41
28 25
4 34
32 70
79 44
41 79
52 0
13 64
46 40
77 67
66 37
35 36
49 6
39 70
30 6
40 22
45 77
3 46
34 2
36 68
23 44
47 42
80 60
43 8
1 4
75 7
61 12
5 17
70 7
66 1
7 46
39 19
59 64
52 40
7 24
32 30
75 10
27 54
59 4
22 54
53 71
65 36
22 43
77 46
77 75
15 13
40 1
55 52
25 6
76 72
15 77
38 47
59 61
22 23
48 21
65 63
5 78
29 20
54 32
69 7
79 48
11 49
70 43
14 80
75 52
67 65
62 21
24 62
61 30
8 34
17 57
28 78
19 27
45 58
15 2
73 78
3 14
45 70
54 9
44 41
26 7
9 41
75 26
28 13
47 33
53 12
78 26
48 79
9 56
71 9
46 7
13 76
66 38
47 23
80 46
56 27
21 26
59 33
40 70
48 10
63 54
40 59
60 49
45 49
43 15
18 78
11 19
23 8
12 26
55 12
26 25
48 69
45 72
29 78
60 33
17 61
60 46
48 59
58 56
59 52
49 5
36 14
67 24
25 19
22 7
64 31
19 55
52 15
35 71
21 34
24 5
16 21
21 1
44 62
60 5
21 12
17 71
26 16
54 56
56 32
21 77
69 73
39 18
59 6
48 25
26 72
49 29
16 46
23 22
38 15
31 37
15 66
10 34
23 32
0 18
26 33
50 51
43 77
32 7
68 11
69 79
71 51
32 4
43 27
13 57
72 41
33 8
30 53
50 43
36 33
40 65
40 73
10 33
38 4
5 9
34 63
53 30
73 16
25 9
66 11
19 73
27 40
29 28
14 44
2 59
19 67
56 53
41 38
60 62
65 8
16 19
53 45
31 44
72 44
28 57
39 27
64 36
56 49
25 44
26 40
76 49
8 56
60 18
78 71
62 47
60 20
34 33
46 75
67 12
61 21
6 6
26 3
48 59
1 48
15 38
74 63
62 9
80 51
59 5
78 15
17 0
55 39
75 24
40 8
44 11
33 77
3 61
21 76
26 68
80 64
80 75
24 34
77 41
65 56
53 9
50 25
41 79
13 54
11 31
48 43
9 47
34 60
61 75
60 55
58 71
67 22
28 57
48 33
72 29
19 70
15 72
25 64
62 25
71 59
51 48
36 10
45 15
52 80
5 68
77 8
9 73
12 75
30 31
13 56
64 74
23 28
77 73
9 54
76 30
67 5
76 18
80 69
14 31
7 63
6 8
45 47
7 19
0 23
5 20
0 67
6 69
21 50
38 1
33 77
19 69
42 22
10 17
56 74
64 11
8 9
70 20
65 34
57 42
43 40
32 60
72 14
76 79
60 31
38 27
80 47
66 63
17 43
51 56
53 77
23 19
20 63
23 4
79 10
31 80
38 58
29 32
69 74
20 29
0 75
15 15
64 79
67 48
36 47
46 51
16 0
6 23
56 49
40 12
53 8
40 31
10 33
7 28
74 15
55 58
26 57
74 46
69 66
79 52
59 78
62 2
21 5
44 55
32 77
75 21
38 45
48 12
74 42
47 76
72 20
44 23
6 62
38 43
23 44
21 24
51 2
2 67
2 12
35 18
47 40
47 39
46 73
58 9
68 66
80 28
23 31
38 29
39 50
69 57
21 56
9 39
9 8
39 57
15 21
29 55
26 31
41 36
68 45
18 27
2 80
65 2
7 58
56 67
23 43
73 48
21 80
8 18
26 10
51 4
59 24
32 53
49 13
6 25
79 32
71 16
21 73
49 64
2 39
29 37
41 33
29 10
37 25
11 60
50 62
20 40
31 17
71 20
0 31
0 12
25 18
41 10
53 62
48 53
55 50
27 22
44 6
63 40
68 38
7 25
41 11
74 19
54 15
73 31
72 58
27 74
45 20
25 71
78 15
59 30
52 18
62 0
40 73
22 31
34 4
41 8
26 9
62 37
44 54
17 11
11 38
30 56
59 22
59 55
31 72
19 70
4 41
13 4
32 55
7 50
66 0
79 64
36 7
54 25
47 1
78 64
68 30
35 72
70 76
71 45
11 71
64 64
70 60
39 78
64 70
27 65
20 51
58 56
7 7
47 41
28 58
2 44
75 68
69 74
56 58
12 64
43 15
70 72
42 61
49 1
72 72
64 2
53 0
7 54
55 7
8 60
19 11
38 59
67 39
67 57
66 19
50 36
48 13
31 40
34 9
37 38
43 49
3 0
45 23
8 12
52 49
34 13
53 61
31 37
12 79
6 14
38 54
3 9
60 68
50 41
40 9
58 27
36 2
1 31
25 72
58 77
39 23
27 26
46 26
53 67
61 49
44 60
73 51
18 68
59 75
64 29
20 59
40 37
0 13
52 55
48 73
0 51
49 2
56 37
62 50
70 0
72 18
76 44
5 76
17 24
54 54
55 74
28 34
76 72
28 21
73 4
50 69
15 0
76 54
78 29
68 9
77 62
55 64
20 61
16 74
32 65
28 26
38 58
6 52
71 45
1 14
47 40
53 74
7 26
54 11
51 65
56 41
64 52
65 69
33 44
45 5
14 44
74 15
54 51
69 5
38 62
78 65
27 16
66 31
61 14
61 13
79 1
16 62
29 47
56 71
60 50
29 56
4 8
3 77
25 14
68 6
24 4
8 47
73 40
32 79
73 30
51 32
12 68
12 19
52 65
9 40
42 59
7 3
44 73
1 2
15 51
27 62
0 34
57 2
53 38
4 70
20 26
77 74
5 35
75 19
79 57
51 75
15 3
57 44
78 50
7 26
67 15
32 17
4 61
0 44
28 24
17 4
16 34
59 47
51 73
48 75
6 80
45 10
22 49
63 38
28 35
0 58
22 35
28 11
46 14
37 72
60 5
29 55
65 63
18 80
3 60
54 56
41 38
51 29
48 18
1 58
41 17
23 55
6 37
4 18
75 31
26 21
25 24
13 76
80 33
75 47
27 65
42 28
11 7
46 78
11 9
61 38
7 14
65 25
50 24
62 37
0 1
24 74
17 67
22 73
67 24
42 37
47 31
56 33
5 31
2 59
61 80
3 55
6 44
56 75
80 31
47 71
24 53
79 57
73 70
77 68
9 3
33 51
26 26
64 57
64 11
13 11
43 34
1 55
13 77
37 78
41 51
48 37
8 8
72 0
45 49
17 10
35 40
59 75
45 6
4 60
1 64
15 74
7 72
5 12
10 79
28 1
34 12
76 67
35 2
32 34
41 19
46 35
71 53
57 21
43 42
34 44
25 14
12 51
64 16
6 72
27 51
11 9
11 17
72 19
54 22
62 30
71 3
49 63
40 15
27 0
40 47
29 13
10 38
65 17
42 59
68 78
7 31
57 58
36 35
2 34
60 18
47 22
46 17
44 37
52 76
16 48
8 5
5 21
34 7
47 48
72 77
38 24
29 77
67 40
19 61
18 25
10 10
21 2
60 26
34 59
7 69
3 22
3 33
47 14
76 49
22 22
32 36
48 13
34 48
38 45
46 9
8 17
51 21
61 77
56 67
75 73
76 75
23 53
22 69
75 44
23 25
50 11
12 63
25 3
11 30
5 21
35 19
19 29
78 79
74 13
80 20
58 4
13 77
58 60
72 23
62 67
43 48
12 49
31 6
36 78
28 62
35 5
32 29
74 6
5 38
21 54
69 80
59 36
66 38
47 80
3 48
2 22
15 42
43 55
78 38
5 10
0 18
71 57
66 0
25 52
80 5
17 80
17 65
43 53
74 5
18 50
32 4
8 66
27 79
56 20
8 47
67 75
13 28
28 29
69 75
9 47
62 23
56 49
68 64
39 13
0 80
26 79
37 41
40 5
22 6
17 17
74 60
48 20
58 34
45 61
10 80
68 48
80 74
7 80
31 72
34 22
64 63
4 60
57 63
22 71
10 22
30 46
30 73
40 30
28 6
44 19
1 10
1 65
19 54
27 60
66 36
4 69
35 45
80 5
65 3
39 47
36 48
42 25
2 36
37 20
79 68
76 28
21 34
47 48
72 78
37 53
17 58
10 26
70 62
9 54
25 6
8 45
2 32
48 51
31 75
33 34
21 20
23 49
73 70
58 68
26 72
50 32
11 45
10 73
30 58
12 23
54 64
35 52
52 55
78 31
59 44
63 37
57 63
61 60
80 67
73 60
0 13
61 49
12 72
75 9
42 72
38 48
47 4
62 75
20 2
51 69
4 58
